,mean_abs_shap
passing_first_downs_binary,0.019419175781765163
passing_yards_binary,0.013104304024792894
passing_tds,0.01243189324095246
attempts,0.011658122033951886
completions_binary,0.01119861410659819
air_yards_incompletion,0.006897069852104737
completions,0.00673942447405996
passing_air_yards,0.0065855826128186625
pass_usage,0.006509465271421726
air_yards_completion,0.0062561569276250745
passing_yards_after_catch,0.006184397094812106
passing_yards,0.005843726438244937
passing_yards_after_catch_binary,0.005279007051896505
passing_air_yards_binary,0.004416949577362796
attempts_binary,0.0036167566910897536
passing_first_downs,0.0033750882930014426
pass_usage_binary,0.003288175826392553
air_yards_completion_binary,0.003096437204405023
sacks,0.0030269634887943263
sack_fumbles_binary,0.002626266092174837
sack_yards,0.002392901443421107
total,0.0021524538015853553
total_binary,0.0017982217986771442
wopr,0.0015019694710422006
home_score,0.0013104767438718297
target_share,0.0013039005265062513
air_yards_incompletion_binary,0.0012633069180849154
sack_fumbles_lost_binary,0.001249740694049142
home_score_binary,0.0012388455501893304
targets,0.0012293919202885381
snap_share,0.0012195151573193136
air_yards_share,0.0011986730475017208
receiving_air_yards,0.001194604352869197
is_thursday_binary,0.0011651344901770957
jersey_number,0.0011328229211747286
rec_team_tgt_share,0.0011304497031207833
offensive_snaps,0.0010521357202453337
rushing_yards,0.0009951960273364756
sacks_binary,0.0009775358550484917
interceptions_binary,0.0009204626082480988
team_defensive_snaps,0.0008877471764399165
rushing_fumbles_binary,0.0008872594194494209
extended_away_games_binary,0.0008627670869595763
carries,0.0008529020194550213
rushing_first_downs,0.0008374828446174504
receiving_fumbles_lost_binary,0.0008141582961299587
interceptions,0.0007919230066654423
away_score,0.0007690567417824889
sack_yards_binary,0.0007529966151653566
rusher_yards_per_carry,0.0006639554245810551
rushing_tds_binary,0.0006464593816252746
racr,0.0006230663061164033
away_score_binary,0.0006024255435795098
rushing_tds,0.000597929881380233
receiving_2pt_conversions_binary,0.0005544503031353184
game_id,0.0004953622473287603
receptions,0.0004915744629218566
rushing_first_downs_binary,0.00048525553852414626
gsis,0.0004766665418390772
team_offensive_snaps,0.0004636861724682534
team_defensive_snaps_binary,0.0004616088851389861
passing_2pt_conversions_binary,0.00045083990984428035
special_team_snaps,0.00043981778646117896
overtime_binary,0.0004377235563576434
receiving_yards_after_catch,0.0004269071835574492
receiving_first_downs,0.00041256458457666743
old_game_id,0.00040956972922367746
travel_distance,0.0003984806994134721
team_special_team_snaps,0.0003961532104019581
result,0.0003882692406706259
receiver_efficiency,0.00038538339307980096
travel_distance_away,0.000383301368698938
team_attempts,0.0003664806971335204
stadium_id_num,0.00036642353409562114
yards_after_catch,0.0003424317650826433
sack_fumbles,0.0003366765395726903
rushing_yards_binary,0.00031900589213318376
team_special_team_snaps_binary,0.0002995553031387937
special_team_snaps_binary,0.0002899428645944947
old_game_id_binary,0.0002823397056031098
offensive_snaps_binary,0.00026770309682042797
carries_binary,0.00026229067807502374
wind,0.00026103983721914456
temp,0.0002525945191873127
receiving_yards,0.00025045737098634564
rusher_yards_per_carry_binary,0.00024264308016803013
rest_days,0.0002223561836210613
isaway,0.00020079040088144605
home_rest,0.00019636304671833126
snap_share_binary,0.00019609369322805978
wopr_binary,0.00018843876900150305
surface_code,0.00018558484112532757
rushing_fumbles_lost_binary,0.000184257158368374
lead_changes,0.0001835491115046009
rest_days_binary,0.00017443820307177883
lead_changes_binary,0.00017299601081534194
game_id_binary,0.00017073908089685241
away_rest,0.000168070469375564
racr_binary,0.00016695849551385733
gsis_binary,0.0001652156566089336
div_game_binary,0.0001645657740403587
receiving_first_downs_binary,0.00013630837947014278
rec_team_tgt_share_binary,0.0001355749037784987
travel_distance_home_binary,0.00013443538374208175
air_yards_share_binary,0.00013369876685657555
surface_code_binary,0.00012771573887372434
receiving_yards_after_catch_binary,0.00012565980399406127
isaway_binary,0.00012476840620128909
wind_binary,0.0001238503514034237
home_rest_binary,0.00012320709140277138
away_rest_binary,0.00012143651106981103
is_international_binary,0.00011594652158666995
receiving_tds_binary,0.00011541599758250858
target_share_binary,0.00011355433473047198
intl_binary,0.00011349989332786458
temp_binary,0.00011331565216045483
targets_binary,0.00011028688696960403
receiver_efficiency_binary,0.00010956915508603603
receiving_yards_binary,0.00010844430817346458
receptions_binary,0.00010618001395910116
team_attempts_binary,0.00010473828799713678
stadium_id_num_binary,0.00010325208247154138
result_binary,0.00010100111957781693
yards_after_catch_binary,9.6751987090995e-05
div_game,9.653649131392214e-05
receiving_fumbles_binary,9.633079711951347e-05
roof_closed_binary,9.223185217463585e-05
travel_distance_away_binary,8.626292415685014e-05
travel_distance_binary,8.558931222413413e-05
team_offensive_snaps_binary,8.175949057608412e-05
jersey_number_binary,8.022595732677094e-05
roof_closed,8.015795903079653e-05
rushing_fumbles,7.853990273859536e-05
week_after_intl_binary,7.499300723193793e-05
receiving_air_yards_binary,7.042774622476264e-05
sack_fumbles_lost,6.884476047523155e-05
extended_away_games,6.37345800384427e-05
is_thursday,4.729643128370828e-05
receiving_fumbles_lost,4.268512642665776e-05
overtime,3.3555618042532e-05
receiving_tds,2.997050987657626e-05
rushing_fumbles_lost,2.6366390192611794e-05
passing_2pt_conversions,2.4897765603263748e-05
receiving_fumbles,2.0718989257071683e-05
intl,1.1138834066897634e-05
travel_distance_home,8.825670410977107e-06
is_international,7.696076156331389e-06
week_after_intl,2.5542744876009857e-06
receiving_2pt_conversions,9.527573184989904e-07
defensive_snaps,0.0
defensive_snaps_binary,0.0
